time,flow,temp,salt
1997-04-22,0.063,4.7588541667,0
1997-04-23,0.063,6.0661458333,0
1997-04-24,0.063,7.728125,0
1997-04-25,0.054,9.3307291667,0
1997-04-26,0.071,10.5328125,0
1997-04-27,0.075,11.2145833333,0
1997-04-28,0.132,10.9942708333,0
1997-04-29,0.119,10.9630208333,0
1997-04-30,0.627,11.18125,0
1997-05-01,0.627,11.8338541667,0
1997-05-02,0.436,13.6364583333,0
1997-05-03,0.295,15.2989583333,0
1997-05-04,0.224,15.8713541667,0
1997-05-05,0.188,14.4921875,0
1997-05-06,0.268,11.446875,0
1997-05-07,0.603,9.0494791667,0
1997-05-08,0.814,8.0994791667,0
1997-05-09,0.627,8.6984375,0
1997-05-10,0.513,10.8489583333,0
1997-05-11,0.361,12.3369791667,0
1997-05-12,0.295,13.7802083333,0
1997-05-13,0.244,14.615625,0
1997-05-14,0.205,15.1270833333,0
1997-05-15,0.173,16.5072916667,0
1997-05-16,0.159,17.8276041667,0
1997-05-17,0.151,18.1572916667,0
1997-05-18,0.132,18.7796875,0
1997-05-19,0.146,17.66875,0
1997-05-20,0.119,15.6223958333,0
1997-05-21,0.119,14.0442708333,0
1997-05-22,0.146,12.0151041667,0
1997-05-23,0.173,10.6989583333,0
1997-05-24,0.146,10.5395833333,0
1997-05-25,0.146,11.1588541667,0
1997-05-26,0.132,11.5890625,0
1997-05-27,0.132,11.9619791667,0
1997-05-28,0.119,12.0973958333,0
1997-05-29,0.104,12.3484375,0
1997-05-30,0.089,12.5520833333,0
1997-05-31,0.089,13.0135416667,0
1997-06-01,0.075,13.7151041667,0
1997-06-02,0.075,14.53125,0
1997-06-03,0.063,15.7104166667,0
1997-06-04,0.063,17.4838541667,0
1997-06-05,0.054,18.8557291667,0
1997-06-06,0.054,20.1703125,0
1997-06-07,0.049,19.9338541667,0
1997-06-08,0.049,19.3234375,0
1997-06-09,0.084,19.13125,0
1997-06-10,0.049,18.7026041667,0
1997-06-11,0.049,19.1114583333,0
1997-06-12,0.068,19.3890625,0
1997-06-13,0.051,18.4401041667,0
1997-06-14,0.104,16.8932291667,0
1997-06-15,0.119,16.06875,0
1997-06-16,0.104,15.2739583333,0
1997-06-17,0.075,14.5552083333,0
1997-06-18,0.063,14.8578125,0
1997-06-19,0.063,14.8479166667,0
1997-06-20,0.054,14.7864583333,0
1997-06-21,0.058,15.0145833333,0
1997-06-22,0.054,14.4421875,0
1997-06-23,0.054,14.0375,0
1997-06-24,0.068,13.3578125,0
1997-06-25,0.054,13.4046875,0
1997-06-26,0.054,13.859375,0
1997-06-27,0.054,14.7166666667,0
1997-06-28,0.063,15.3921875,0
1997-06-29,0.054,15.4296875,0
1997-06-30,0.054,15.5651041667,0
1997-07-01,0.054,15.3692708333,0
1997-07-02,0.054,15.8302083333,0
1997-07-03,0.054,16.0640625,0
1997-07-04,0.049,16.0671875,0
1997-07-05,0.044,15.90625,0
1997-07-06,0.049,15.9401041667,0
1997-07-07,0.044,15.9791666667,0
1997-07-08,0.044,16.325,0
1997-07-09,0.044,17.009375,0
1997-07-10,0.044,17.8182291667,0
1997-07-11,0.039,19.0510416667,0
1997-07-12,0.039,19.9494791667,0
1997-07-13,0.039,20.2703125,0
1997-07-14,0.039,19.8598958333,0
1997-07-15,0.033,19.05625,0
1997-07-16,0.033,18.2859375,0
1997-07-17,0.039,17.6348958333,0
1997-07-18,0.039,17.3880208333,0
1997-07-19,0.046,16.9291666667,0
1997-07-20,0.039,16.7234375,0
1997-07-21,0.041,17.2677083333,0
1997-07-22,0.039,17.4567708333,0
1997-07-23,0.039,18.1395833333,0
1997-07-24,0.033,18.3020833333,0
1997-07-25,0.033,18.2802083333,0
1997-07-26,0.048,18.184375,0
1997-07-27,0.039,17.7921875,0
1997-07-28,0.039,18.028125,0
1997-07-29,0.033,18.4145833333,0
1997-07-30,0.033,17.7765625,0
1997-07-31,0.026,17.3916666667,0
1997-08-01,0.049,17.5609375,0
1997-08-02,0.049,17.0515625,0
1997-08-03,0.044,18.3036458333,0
1997-08-04,0.044,19.7432291667,0
1997-08-05,0.039,20.5880208333,0
1997-08-06,0.033,21.3677083333,0
1997-08-07,0.03,21.8276041667,0
1997-08-08,0.026,22.1880208333,0
1997-08-09,0.026,22.4,0
1997-08-10,0.022,23.1744791667,0
1997-08-11,0.02,23.5567708333,0
1997-08-12,0.02,23.6182291667,0
1997-08-13,0.02,23.2208333333,0
1997-08-14,0.02,21.8734375,0
1997-08-15,0.02,20.946875,0
1997-08-16,0.026,20.4135416667,0
1997-08-17,0.02,20.4390625,0
1997-08-18,0.02,20.4880208333,0
1997-08-19,0.02,20.3526041667,0
1997-08-20,0.02,20.3963541667,0
1997-08-21,0.02,20.0161458333,0
1997-08-22,0.02,20.9984375,0
1997-08-23,0.033,22.0036458333,0
1997-08-24,0.026,23.0958333333,0
1997-08-25,0.026,22.9364583333,0
1997-08-26,0.02,22.1734375,0
1997-08-27,0.026,20.3223958333,0
1997-08-28,0.049,18.0776041667,0
1997-08-29,0.044,17.190625,0
1997-08-30,0.033,17.2088541667,0
1997-08-31,0.026,18.4916666667,0
1997-09-01,0.026,18.4416666667,0
1997-09-02,0.038,18.465625,0
1997-09-03,0.039,17.8666666667,0
1997-09-04,0.026,17.0442708333,0
1997-09-05,0.026,17.0447916667,0
1997-09-06,0.026,16.5161458333,0
1997-09-07,0.026,16.0661458333,0
1997-09-08,0.033,15.2802083333,0
1997-09-09,0.026,14.4171875,0
1997-09-10,0.026,14.5755208333,0
1997-09-11,0.02,14.8177083333,0
1997-09-12,0.02,14.2567708333,0
1997-09-13,0.021,13.8729166667,0
1997-09-14,0.02,13.2713541667,0
1997-09-15,0.02,12.721875,0
1997-09-16,0.02,13.5411458333,0
1997-09-17,0.02,15.0427083333,0
1997-09-18,0.02,15.3385416667,0
1997-09-19,0.02,14.3875,0
1997-09-20,0.02,13.0234375,0
1997-09-21,0.02,11.5911458333,0
1997-09-22,0.02,11.3348958333,0
1997-09-23,0.014,11.4265625,0
1997-09-24,0.014,12.0239583333,0
1997-09-25,0.02,12.8432291667,0
1997-09-26,0.014,12.9875,0
1997-09-27,0.014,13.4557291667,0
1997-09-28,0.014,13.6307291667,0
1997-09-29,0.014,13.7052083333,0
1997-09-30,0.014,14.7484375,0
1997-10-01,0.02,14.9125,0
1997-10-02,0.039,14.2265625,0
1997-10-03,0.026,13.7796875,0
1997-10-04,0.026,12.3552083333,0
1997-10-05,0.026,12.5567708333,0
1997-10-06,0.026,13.9760416667,0
1997-10-07,0.02,14.5088541667,0
1997-10-08,0.039,15.971875,0
1997-10-09,0.087,16.0229166667,0
1997-10-10,0.217,14.8640625,0
1997-10-11,0.224,13.3869791667,0
1997-10-12,0.183,11.0572916667,0
1997-10-13,0.119,9.3203125,0
1997-10-14,0.104,8.059375,0
1997-10-15,0.075,7.5239583333,0
1997-10-16,0.075,8.3140625,0
1997-10-17,0.066,9.7338541667,0
1997-10-18,0.06,11.5901041667,0
1997-10-19,0.056,12.1760416667,0
1997-10-20,0.052,10.4114583333,0
1997-10-21,0.049,7.8682291667,0
1997-10-22,0.049,5.1817708333,0
1997-10-23,0.049,4.1505208333,0
1997-10-24,0.044,4.7213541667,0
1997-10-25,0.044,5.6640625,0
1997-10-26,0.044,5.6875,0
1997-10-27,0.044,4.6010416667,0
1997-10-28,0.043,3.2145833333,0
1997-10-29,0.039,2.1140625,0
1997-10-30,0.039,1.7526041667,0
1997-10-31,0.039,1.821875,0
1997-11-01,0.039,1.3359375,0
1997-11-02,0.039,1.5723958333,0
1997-11-03,0.039,2.1317708333,0
1997-11-04,0.039,3.9854166667,0
1997-11-05,0.039,7.1713541667,0
1997-11-06,0.044,9.1463541667,0
1997-11-07,0.064,10.3890625,0
1997-11-08,0.049,10.6822916667,0
1997-11-09,0.049,10.1020833333,0
1997-11-10,0.075,9.2651041667,0
1997-11-11,0.075,8.8041666667,0
1997-11-12,0.075,7.9614583333,0
1997-11-13,0.075,6.7963541667,0
1997-11-14,0.075,6.5296875,0
1997-11-15,0.075,6.890625,0
1997-11-16,0.104,6.4104166667,0
1997-11-17,0.089,6.5854166667,0
1997-11-18,0.104,5.2916666667,0
1997-11-19,0.104,3.4244791667,0
1997-11-20,0.089,3.7828125,0
